Frame (60^-1s),Volume (cm^-3)
454,2375.427
455,2387.429
456,2356.052
457,2320.215
458,2322.665
459,2317.646
460,2314.684
461,2306.451
462,2297.103
463,2287.3
464,2279.836
465,2347.063
466,2338.994
467,2327.049
468,2324.485
469,2321.007
470,2325.765
471,2320.032
472,2348.862
473,2325.169
474,2336.101
475,2314.224
476,2294.165
477,2262.501
478,2330.518
479,2244.828
480,2208.111
481,2255.018
482,1824.598
483,1835.126
484,1829.516
485,1828.392
486,2086.512
487,2163.569
488,2176.722
489,2191.857
490,1802.667
491,1776.893
492,2041.261
493,1786.566
494,2156.358
495,2150.313
496,1747.146
497,2092.969
498,2081.368
499,2068.135
500,2059.873
501,2089.552
502,2081.294
503,2070.733
504,1716.699
505,2095.926
506,2094.229
507,2093.437
508,2099.29
509,2096.493
510,2018.869
511,2093.67
512,2092.686
513,2089.486
514,1999.313
515,2098.663
516,2010.306
517,2146.273
518,2044.616
519,2045.027
520,2134.523
521,2102.82
522,1979.052
523,2079.505
524,2080.046
525,2051.168
526,2058.667
527,2059.035
528,2092.551
529,2048.869
530,1933.349
531,1934.361
532,2048.566
533,2044.864
534,1997.921
535,1990.189
536,1580.851
537,1935.082
538,1929.173
539,1993.209
540,1986.457
541,1923.543
542,2040.516
543,2046.395
544,2058.114
545,2067.626
546,2036.942
547,2044.115
548,1971.964
549,2009.673
550,1962.916
551,1957.921
552,1954.827
553,1995.792
554,2038.265
555,2042.569
556,1933.746
557,2039.683
558,2022.493
559,2019.569
560,1869.145
561,1869.387
562,1936.961
563,1924.932
564,1919.014
565,1901.577
566,1967.704
567,1970.982
568,1974.849
569,1977.087
570,1934.665
571,1918.223
572,1909.718
573,2016.754
574,1871.027
575,1876.725
576,2026.568
577,2023.416
578,1875.355
579,1904.229
580,1977.196
581,1944.478
582,1811.917
583,1831.498
584,1838.656
585,1485.298
586,1828.761
587,1964.474
588,1956.17
589,1956.798
590,1877.845
591,1948.364
592,1935.243
593,1932.807
594,1927.078
595,1880.246
596,1768.807
597,1763.754
598,1751.289
599,1876.795
600,1894.319
601,1765.874
602,1927.676
603,1798.38
604,1854.07
605,1853.303
606,1744.336
607,1731.205
608,1903.425
609,1886.652
610,1859.813
611,1912.145
612,1848.114
613,1716.834
614,1849.973
615,1775.375
616,1793.645
617,1805.183
618,1815.463
619,1792.852
620,1759.714
621,1765.382
622,1769.641
623,1705.288
624,1761.093
625,1739.616
626,1752.043
627,1763.542
628,1762.481
629,1720.218
630,1744.669
631,1728.667
632,1686.823
633,1748.909
634,1652.621
635,1720.038
636,1725.471
637,1722.552
638,1718.038
639,1717.023
640,1646.878
641,1621.403
642,1651.832
643,1652.23
644,1663.28
645,1668.711
646,1638.894
647,1643.866
648,1747.788
649,1747.603
650,1648.944
651,1587.431
652,1626.125
653,1662.203
654,1677.024
655,1627.64
656,1598.618
657,1699.929
658,1729.449
659,1750.741
660,1722.542
661,1681.154
662,1683.059
663,1719.471
664,1719.683
665,1718.926
666,1679.896
667,1668.116
668,1661.193
669,1590.945
670,1594.719
671,1589.341
672,1619.95
673,1616.97
674,1614.94
675,1612.804
676,1706.308
677,1696.416
678,1686.166
679,1719.896
680,1717.62
681,1714.441
682,1706.813
683,1668.013
684,1665.407
685,1660.866
686,1656.493
687,1657.656
688,1659.122
689,1560.739
690,1558.339
691,1617.15
692,1678.684
693,1671.572
694,1630.997
695,1630.228
696,1589.599
697,1683.236
698,1636.084
699,1625.138
700,1616.503
701,1604.374
702,1595.213
703,1590.302
704,1586.38
705,1586.532
706,1594.899
707,1592.263
708,1592.161
709,1546.165
710,1540.732
711,1536.412
712,1535.182
713,1530.69
714,1531.164
715,1265.091
716,1621.93
717,1618.805
718,1616.179
719,1648.351
720,1618.527
721,1582.97
722,1589.732
723,1592.692
724,1562.333
725,1564.908
726,1561.705
727,1488.817
728,1544.839
729,1531.826
730,1560.133
731,1526.193
732,1503.323
733,1543.122
734,1557.317
735,1475.652
736,1490.511
737,1506.299
